song_id,song_name,quality,audio_file_id,audio_file_unique_id,image_file_id,image_file_unique_id,album,artist,release_date,duration,download_url,image_url
U2STwQGZ,Maanja Nee,320kbps,CQACAgUAAxkDAAIChGhWBTGQ6lczHrrvWjyiIXvelPm9AAKFFgACp_SwViyst9v-4cluNgQ,AgADhRYAAqf0sFY,AgACAgUAAxkDAAIBMWhVlm9sUBDAj3lKmnU5_tqm7b5WAALowzEbp_SwVjpms3aAtCzaAQADAgADeAADNgQ,AQAD6MMxG6f0sFZ9,"{'id': '51017600', 'name': 'Ayalaan (Original Motion Picture Soundtrack)', 'url': 'https://www.jiosaavn.com/album/ayalaan-original-motion-picture-soundtrack/9eIdUrdVbQU_'}",,2024-01-10,235,http://aac.saavncdn.com/452/73dfeb7d6ba337248d8cddf65a7a19bc_320.mp4,
9e4p_Byj,Hunter Vantaar,320kbps,CQACAgUAAxkDAAICh2hWBUywB0zRovupeOROq6juQy5RAAKHFgACp_SwVsGw0FoyyR7xNgQ,AgADhxYAAqf0sFY,AgACAgUAAxkDAAIBJ2hVlig1hM3VRv7p4JygaC05BGBqAALjwzEbp_SwVlzzWf6YKGhoAQADAgADeAADNgQ,AQAD48MxG6f0sFZ9,"{'id': '58811310', 'name': 'Vettaiyan', 'url': 'https://www.jiosaavn.com/album/vettaiyan/jslpqSyV8L0_'}",,2024-10-14,192,http://aac.saavncdn.com/803/6fb743e4593b69786449d88e4ab2fd52_320.mp4,
WjoeOa80,Neelorpam,320kbps,CQACAgUAAxkDAAICi2hWBXkl_TwYcL7YPY45LAF-TliMAAKKFgACp_SwVm0PKZnmCV7JNgQ,AgADihYAAqf0sFY,AgACAgUAAxkDAAIBK2hVlkDO_BqLJHEWsdbxp8CJezb9AALlwzEbp_SwViZWMF051mG8AQADAgADeAADNgQ,AQAD5cMxG6f0sFZ9,"{'id': '54862342', 'name': 'Indian 2 (Original Motion Picture Soundtrack)', 'url': 'https://www.jiosaavn.com/album/indian-2-original-motion-picture-soundtrack/9dCuHzz5XS0_'}",,2024-06-01,308,http://aac.saavncdn.com/736/5a962a939ec69bf283aba2dc97c780ca_320.mp4,
ROQXnzhN,Clean Shot,320kbps,CQACAgUAAxkDAAICjmhWBYtb7PQJmecSTxEvplDU5G_AAAKMFgACp_SwVo0kaStwtsmGNgQ,AgADjBYAAqf0sFY,AgACAgUAAxkDAAIBJ2hVlig1hM3VRv7p4JygaC05BGBqAALjwzEbp_SwVlzzWf6YKGhoAQADAgADeAADNgQ,AQAD48MxG6f0sFZ9,"{'id': '58811310', 'name': 'Vettaiyan', 'url': 'https://www.jiosaavn.com/album/vettaiyan/jslpqSyV8L0_'}",,2024-10-14,153,http://aac.saavncdn.com/803/1ad0f27c1f322fd12188e6eb740cdd63_320.mp4,
7WH405TL,Vera Level Sago,320kbps,CQACAgUAAxkDAAICkmhWBbDDTeMkgrFFyOno51wMwNlOAAKPFgACp_SwVkq5xtPSjAdhNgQ,AgADjxYAAqf0sFY,AgACAgUAAxkDAAIBMWhVlm9sUBDAj3lKmnU5_tqm7b5WAALowzEbp_SwVjpms3aAtCzaAQADAgADeAADNgQ,AQAD6MMxG6f0sFZ9,"{'id': '51017600', 'name': 'Ayalaan (Original Motion Picture Soundtrack)', 'url': 'https://www.jiosaavn.com/album/ayalaan-original-motion-picture-soundtrack/9eIdUrdVbQU_'}",,2024-01-10,254,http://aac.saavncdn.com/452/59c4be554e7277c210aee58b39bff010_320.mp4,
s65Ha75w,Leo Das Entry,320kbps,CQACAgUAAxkDAAIClWhWBcP58OUpmWmMvwrQ1yvgVriOAAKRFgACp_SwVtBaUa9QnQ0wNgQ,AgADkRYAAqf0sFY,AgACAgUAAxkDAAIBO2hVlqfC7f_Rsh9CT9DrJbMj_VAxAALpwzEbp_SwVtSlcG5EhNN2AQADAgADeAADNgQ,AQAD6cMxG6f0sFZ9,"{'id': '50961278', 'name': 'Leo Das Entry (From &quot;Leo&quot;)', 'url': 'https://www.jiosaavn.com/album/leo-das-entry-from-leo/mPTycFaElxs_'}",,2024-01-08,97,http://aac.saavncdn.com/109/5a7623ae2855a97fdadb9a2494c35cbc_320.mp4,
OjLSS5hp,Vidaamuyarchi Theme,320kbps,CQACAgUAAxkDAAICmGhWBdXqUgthuvtpAVTIWpAGLMz0AAKTFgACp_SwVkt01_SpI087NgQ,AgADkxYAAqf0sFY,AgACAgUAAxkDAAIBPWhVlq4AAcaAKBpeQfA3huLwwBQwUAAC6sMxG6f0sFbALA47wqX-sQEAAwIAA3gAAzYE,AQAD6sMxG6f0sFZ9,"{'id': '60062232', 'name': 'Vidaamuyarchi Theme (From &quot;Vidaamuyarchi&quot;)', 'url': 'https://www.jiosaavn.com/album/vidaamuyarchi-theme-from-vidaamuyarchi/r4CMzFJxZFY_'}",,2024-11-29,96,http://aac.saavncdn.com/347/227db93ed3d1fe5a9b9afec75871a34a_320.mp4,
b1T-e1ls,Manasula,320kbps,CQACAgUAAxkDAAICm2hWBe9VTb_x4lZ1rjQOA45RTcVPAAKVFgACp_SwVtmpIBfAmDHNNgQ,AgADlRYAAqf0sFY,AgACAgUAAxkDAAIBLWhVlk89OZlRVT0-Fuxvh17ds5jnAALmwzEbp_SwVioP8cICHAN_AQADAgADeAADNgQ,AQAD5sMxG6f0sFZ9,"{'id': '59988615', 'name': 'Viduthalai 2 (Original Motion Picture Soundtrack)', 'url': 'https://www.jiosaavn.com/album/viduthalai-2-original-motion-picture-soundtrack/0pggPvFTzuo_'}",,2024-11-26,248,http://aac.saavncdn.com/887/2dcc8aa088ebfba1900e9f3b6c8cae19_320.mp4,
tW3P0U5G,College Superstars,320kbps,CQACAgUAAxkDAAICnmhWBgefejrD_nO4soUfynTjFVRIAAKXFgACp_SwVt2L0eBsmZkKNgQ,AgADlxYAAqf0sFY,AgACAgUAAxkDAAIBQWhVlscoqFBB5EpP6sES7dw-x-K9AALrwzEbp_SwVlySZvZ2jSS7AQADAgADeAADNgQ,AQAD68MxG6f0sFZ9,"{'id': '54007889', 'name': 'Star', 'url': 'https://www.jiosaavn.com/album/star/m5HsN4wiZfE_'}",,2024-05-04,190,http://aac.saavncdn.com/370/59846d4c0342f56582ebc32e4b44d7a5_320.mp4,
r-3K5Rkr,Nenjin Ezhuth,320kbps,CQACAgUAAxkDAAICoWhWBh9JTcsFFH4P6i2AiJYknR30AAKaFgACp_SwViEQ4nrnITC0NgQ,AgADmhYAAqf0sFY,AgACAgUAAxkDAAIBQ2hVltYCijdnO9EAAT0LKbtKM3GnOwAC7MMxG6f0sFa_qQv_sw8XmgEAAwIAA3gAAzYE,AQAD7MMxG6f0sFZ9,"{'id': '52717006', 'name': 'Nenjin Ezhuth', 'url': 'https://www.jiosaavn.com/album/nenjin-ezhuth/LNBa0vH0hbk_'}",,2022-05-16,229,http://aac.saavncdn.com/552/24008ba5821efb6ef6f93b097b5e9d5f_320.mp4,
